MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
MSST,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2302
MFMT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2303
MSY PROXY,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. THOMAS AND ST. JOHN,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2304
MSST,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2305
MSY PROXY,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2306
MFMT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2307
MSST,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2308
MSY PROXY,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2309
MFMT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND ST. CROIX,ALL,ALL,CARIBBEAN,"LOBSTER, CARIBBEAN SPINY",2310
CLOSURE,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,COMMERCIAL,GILLNET,GULF OF MEXICO,"MACKEREL, KING",2311
