MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,TRIPLETAIL,2348
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,WAHOO,2349
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,TRIPLETAIL,2350
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,ACL/ACT: TUNAS,2351
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,ACL/ACT: MACKERELS,2352
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,ACL/ACT: TUNAS,2353
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,ACL/ACT: MACKERELS,2354
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,GROUPER 3,2355
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,SNAPPER 4,2356
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,SNAPPER 4,2357
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,RECREATIONAL,ALL,CARIBBEAN,SNAPPER 1,2358
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,TRIGGERFISH,2359
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,TRIPLETAIL,2360
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,WAHOO,2361
ACT,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,WAHOO,2362
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,GROUPER 6,2363
ACL,FEDERAL,EEZ,FMP FOR THE EEZ AROUND PUERTO RICO,COMMERCIAL,ALL,CARIBBEAN,SNAPPER 1,2364
