MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,RECREATIONAL,ALL,SOUTH ATLANTIC,"AMBERJACK, GREATER",2120
PROHIBITED SALE AND PURCHASE,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,COMMERCIAL,ALL,SOUTH ATLANTIC,"AMBERJACK, GREATER",2121
