MANAGEMENT_TYPE_USE,JURISDICTION,JURISDICTIONAL_WATERS,FMP,SECTOR_USE,SUBSECTOR_USE,REGION,SPP_NAME,CLUSTER
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"SNAPPER, RED",2184
MSY,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"SNAPPER, MUTTON",2185
ABC,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"SNAPPER, MUTTON",2186
ACL,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"SNAPPER, MUTTON",2187
ABC,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,HOGFISH,2188
ACL,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,HOGFISH,2189
MSY,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,HOGFISH,2190
MSST,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,HOGFISH,2191
ABC,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"GROUPER, RED",2192
OFL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"GROUPER, RED",2193
ABC,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"TILEFISH, BLUELINE",2194
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"SNAPPER, MUTTON",2195
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"SNAPPER, CUBERA",2196
MSST,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"TILEFISH, BLUELINE",2197
MSST,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"GROUPER, GAG",2198
MSST,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"GROUPER, BLACK",2199
MSST,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"SNAPPER, YELLOWTAIL",2200
MSST,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"PORGY, RED",2201
MSST,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"AMBERJACK, GREATER",2202
MSST,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"SNAPPER, RED",2203
MSST,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"SNAPPER, VERMILION",2204
MSST,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"SNAPPER, MUTTON",2205
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"AMBERJACK, GREATER",2206
ACT,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"AMBERJACK, GREATER",2207
MSST,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"GROUPER, RED",2208
MSST,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"GROUPER, GAG",2209
MSST,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"SNAPPER, VERMILION",2210
MSST,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"SNAPPER, RED",2211
MSST,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"AMBERJACK, GREATER",2212
MSST,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"TRIGGERFISH, GRAY",2213
MULTI-REGION ACL,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,ALL,ALL,GULF OF MEXICO,"LOBSTER, CARIBBEAN SPINY",2214
MULTI-REGION ACT,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,ALL,ALL,GULF OF MEXICO,"LOBSTER, CARIBBEAN SPINY",2215
MULTI-REGION ACL,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,ALL,ALL,SOUTH ATLANTIC,"LOBSTER, CARIBBEAN SPINY",2216
MULTI-REGION ACT,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,ALL,ALL,SOUTH ATLANTIC,"LOBSTER, CARIBBEAN SPINY",2217
ACL,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,"MACKEREL, KING",2218
TAC,FEDERAL,EEZ,RED DRUM FISHERY OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"DRUM, RED",2219
MSY PROXY,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,ALL,ALL,GULF OF MEXICO,"LOBSTER, CARIBBEAN SPINY",2220
MSY PROXY,FEDERAL,EEZ,SPINY LOBSTER FISHERY OF THE GULF OF MEXICO AND SOUTH ATLANTIC,ALL,ALL,SOUTH ATLANTIC,"LOBSTER, CARIBBEAN SPINY",2221
MULTI-REGION ABC,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,ALL,ALL,SOUTH ATLANTIC,DOLPHIN,2222
MULTI-REGION ABC,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,ALL,ALL,SOUTH ATLANTIC,WAHOO,2223
MULTI-REGION ABC,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,ALL,ALL,NORTH ATLANTIC,DOLPHIN,2224
MULTI-REGION ABC,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,ALL,ALL,NORTH ATLANTIC,WAHOO,2225
MULTI-REGION ABC,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,ALL,ALL,MID ATLANTIC,DOLPHIN,2226
MULTI-REGION ABC,FEDERAL,EEZ,DOLPHIN AND WAHOO FISHERY OFF THE ATLANTIC STATES,ALL,ALL,MID ATLANTIC,WAHOO,2227
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,ACL/ACT: ANGELFISH,2228
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,ACL/ACT: SURGEONFISH,2229
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,ACL/ACT: SQUIRRELFISH,2230
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,"ACL/ACT: SCUPS AND PORGIES, COMBINED",2231
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,"ACL/ACT: TRIGGERFISH AND FILEFISH, COMBINED",2232
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,AQUARIUM TRADE—DATA COLLECTION ONLY,2233
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,ACL/ACT: BOXFISH,2234
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,ACL/ACT: GOATFISHES,2235
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,ACL/ACT: GRUNTS,2236
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,ACL/ACT: WRASSES,2237
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,ACL/ACT: JACKS,2238
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,ACL/ACT: TILEFISH,2239
OY,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,"MACKEREL, SPANISH",2240
MSY,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,COBIA,2241
MSY,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,"MACKEREL, SPANISH",2242
MSY,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,"MACKEREL, KING",2243
OY,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,"MACKEREL, KING",2244
OY,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,COBIA,2245
MSST,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,COBIA,2246
MSST,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,"MACKEREL, SPANISH",2247
MSST,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,GULF OF MEXICO,"MACKEREL, KING",2248
ACL,FEDERAL,EEZ,COASTAL MIGRATORY PELAGIC RESOURCES,ALL,ALL,SOUTH ATLANTIC,"MACKEREL, SPANISH",2249
ACL,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,"GROUPER, BLACK",2250
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,ACL/ACT: GROUPERS,2251
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,ACL/ACT: SNAPPERS,2252
ACL,FEDERAL,EEZ,REEF FISH FISHERY OF PUERTO RICO AND THE U.S. VIRGIN ISLANDS,ALL,ALL,CARIBBEAN,ACL/ACT: PARROTFISHES,2253
ACL,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,ACL/ACT: DEEP-WATER COMPLEX,2254
ACL,FEDERAL,EEZ,SNAPPER-GROUPER FISHERY OF THE SOUTH ATLANTIC REGION,ALL,ALL,SOUTH ATLANTIC,ACL/ACT: OTHER SNAPPERS COMPLEX,2255
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,ACL/ACT:  OTHER SHALLOW-WATER GROUPER (OTHER SWG),2256
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,ACL/ACT:  DEEP-WATER GROUPER (DWG) COMBINED,2257
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,ACL/ACT: TILEFISHES COMBINED,2258
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"ACL/ACT: LESSER AMBERJACK, ALMACO JACK, AND BANDED RUDDERFISH, COMBINED",2259
ACL,FEDERAL,EEZ,REEF FISH RESOURCES OF THE GULF OF MEXICO,ALL,ALL,GULF OF MEXICO,"ACL/ACT: SILK SNAPPER, QUEEN SNAPPER, BLACKFIN SNAPPER, AND WENCHMAN, COMBINED",2260
